GEPARALLELUPS-MIB::upsTrapAlarmOnBatteryRestored 1.3.6.1.4.1.818.1.1.10.11.34
GEPARALLELUPS-MIB::upsTrapAlarmLowBatteryRestored 1.3.6.1.4.1.818.1.1.10.11.35
GEPARALLELUPS-MIB::upsTrapAlarmDepletedBatteryRestored 1.3.6.1.4.1.818.1.1.10.11.36
GEPARALLELUPS-MIB::upsTrapAlarmTempBadRestored 1.3.6.1.4.1.818.1.1.10.11.37
GEPARALLELUPS-MIB::upsTrapAlarmInputBadRestored 1.3.6.1.4.1.818.1.1.10.11.38
GEPARALLELUPS-MIB::upsTrapAlarmOutputBadRestored 1.3.6.1.4.1.818.1.1.10.11.39
GEPARALLELUPS-MIB::upsTrapAlarmOutputOverloadRestored 1.3.6.1.4.1.818.1.1.10.11.40
GEPARALLELUPS-MIB::upsTrapAlarmOnBypassRestored 1.3.6.1.4.1.818.1.1.10.11.41
GEPARALLELUPS-MIB::upsTrapAlarmBypassBadRestored 1.3.6.1.4.1.818.1.1.10.11.42
GEPARALLELUPS-MIB::upsTrapAlarmOutputOffAsRequestedRestored 1.3.6.1.4.1.818.1.1.10.11.43
GEPARALLELUPS-MIB::upsTrapAlarmUpsOffAsRequestedRestored 1.3.6.1.4.1.818.1.1.10.11.44
GEPARALLELUPS-MIB::upsTrapAlarmChargerFailedRestored 1.3.6.1.4.1.818.1.1.10.11.45
GEPARALLELUPS-MIB::upsTrapAlarmUpsOutputOn 1.3.6.1.4.1.818.1.1.10.11.46
GEPARALLELUPS-MIB::upsTrapAlarmUpsSystemOn 1.3.6.1.4.1.818.1.1.10.11.47
GEPARALLELUPS-MIB::upsTrapAlarmFanFailureRestored 1.3.6.1.4.1.818.1.1.10.11.48
GEPARALLELUPS-MIB::upsTrapAlarmFuseFailureRestored 1.3.6.1.4.1.818.1.1.10.11.49
GEPARALLELUPS-MIB::upsTrapAlarmGeneralFaultRestored 1.3.6.1.4.1.818.1.1.10.11.50
GEPARALLELUPS-MIB::upsTrapAlarmDiagnosticTestFailedRestored 1.3.6.1.4.1.818.1.1.10.11.51
GEPARALLELUPS-MIB::upsTrapAlarmCommunicationsLostRestored 1.3.6.1.4.1.818.1.1.10.11.52
GEPARALLELUPS-MIB::upsTrapAlarmAwaitingPowerRestored 1.3.6.1.4.1.818.1.1.10.11.53
GEPARALLELUPS-MIB::upsTrapAlarmShutdownPendingRestored 1.3.6.1.4.1.818.1.1.10.11.54
GEPARALLELUPS-MIB::upsTrapAlarmShutdownImminentRestored 1.3.6.1.4.1.818.1.1.10.11.55
GEPARALLELUPS-MIB::upsTrapAlarmTestInProgressRestored 1.3.6.1.4.1.818.1.1.10.11.56
GEPARALLELUPS-MIB::upsTrapAlarmReceptacleOn 1.3.6.1.4.1.818.1.1.10.11.57
GEPARALLELUPS-MIB::upsTrapAlarmHighspeedBusRestored 1.3.6.1.4.1.818.1.1.10.11.58
GEPARALLELUPS-MIB::upsTrapAlarmHighspeedBusJACRCRestored 1.3.6.1.4.1.818.1.1.10.11.59
GEPARALLELUPS-MIB::upsTrapAlarmConnectivityBusRestored 1.3.6.1.4.1.818.1.1.10.11.60
GEPARALLELUPS-MIB::upsTrapAlarmHighspeedBusJBCRCRestored 1.3.6.1.4.1.818.1.1.10.11.61
GEPARALLELUPS-MIB::upsTrapAlarmCurrentSharingRestored 1.3.6.1.4.1.818.1.1.10.11.62
GEPARALLELUPS-MIB::upsTrapAlarmDCRippleRestored 1.3.6.1.4.1.818.1.1.10.11.63
GEPARALLELUPS-MIB::upsTrapAlarmValueLow  1.3.6.1.4.1.818.1.1.10.11.129
GEPARALLELUPS-MIB::upsTrapAlarmValueHigh 1.3.6.1.4.1.818.1.1.10.11.130
GEPARALLELUPS-MIB::upsTrapAlarmValueLowRestored 1.3.6.1.4.1.818.1.1.10.11.133
GEPARALLELUPS-MIB::upsTrapAlarmValueHighRestored 1.3.6.1.4.1.818.1.1.10.11.134
