GESINGLEUPS-MIB::geUPSTrapsgen           1.3.6.1.4.1.818.1.1.10.11
GESINGLEUPS-MIB::upsTrapAlarmBatteryBadgen 1.3.6.1.4.1.818.1.1.10.11.1
GESINGLEUPS-MIB::upsTrapAlarmOnBatterygen 1.3.6.1.4.1.818.1.1.10.11.2
GESINGLEUPS-MIB::upsTrapAlarmLowBatterygen 1.3.6.1.4.1.818.1.1.10.11.3
GESINGLEUPS-MIB::upsTrapAlarmDepletedBatterygen 1.3.6.1.4.1.818.1.1.10.11.4
GESINGLEUPS-MIB::upsTrapAlarmTempBadgen  1.3.6.1.4.1.818.1.1.10.11.5
GESINGLEUPS-MIB::upsTrapAlarmInputBadgen 1.3.6.1.4.1.818.1.1.10.11.6
GESINGLEUPS-MIB::upsTrapAlarmOutputBadgen 1.3.6.1.4.1.818.1.1.10.11.7
GESINGLEUPS-MIB::upsTrapAlarmOutputOverloadgen 1.3.6.1.4.1.818.1.1.10.11.8
GESINGLEUPS-MIB::upsTrapAlarmOnBypassgen 1.3.6.1.4.1.818.1.1.10.11.9
GESINGLEUPS-MIB::upsTrapAlarmBypassBadgen 1.3.6.1.4.1.818.1.1.10.11.10
GESINGLEUPS-MIB::upsTrapAlarmOutputOffAsRequestedgen 1.3.6.1.4.1.818.1.1.10.11.11
GESINGLEUPS-MIB::upsTrapAlarmUpsOffAsRequestedgen 1.3.6.1.4.1.818.1.1.10.11.12
GESINGLEUPS-MIB::upsTrapAlarmChargerFailedgen 1.3.6.1.4.1.818.1.1.10.11.13
GESINGLEUPS-MIB::upsTrapAlarmUpsOutputOffgen 1.3.6.1.4.1.818.1.1.10.11.14
GESINGLEUPS-MIB::upsTrapAlarmUpsSystemOffgen 1.3.6.1.4.1.818.1.1.10.11.15
GESINGLEUPS-MIB::upsTrapAlarmFanFailuregen 1.3.6.1.4.1.818.1.1.10.11.16
GESINGLEUPS-MIB::upsTrapAlarmFuseFailuregen 1.3.6.1.4.1.818.1.1.10.11.17
GESINGLEUPS-MIB::upsTrapAlarmGeneralFaultgen 1.3.6.1.4.1.818.1.1.10.11.18
GESINGLEUPS-MIB::upsTrapAlarmDiagnosticTestFailedgen 1.3.6.1.4.1.818.1.1.10.11.19
GESINGLEUPS-MIB::upsTrapAlarmCommunicationsLostgen 1.3.6.1.4.1.818.1.1.10.11.20
GESINGLEUPS-MIB::upsTrapAlarmAwaitingPowergen 1.3.6.1.4.1.818.1.1.10.11.21
GESINGLEUPS-MIB::upsTrapAlarmShutdownPendinggen 1.3.6.1.4.1.818.1.1.10.11.22
GESINGLEUPS-MIB::upsTrapAlarmShutdownImminentgen 1.3.6.1.4.1.818.1.1.10.11.23
GESINGLEUPS-MIB::upsTrapAlarmTestInProgressgen 1.3.6.1.4.1.818.1.1.10.11.24
GESINGLEUPS-MIB::upsTrapAlarmReceptacleOffgen 1.3.6.1.4.1.818.1.1.10.11.25
GESINGLEUPS-MIB::upsTrapAlarmHighspeedBusFailuregen 1.3.6.1.4.1.818.1.1.10.11.26
GESINGLEUPS-MIB::upsTrapAlarmHighspeedBusJACRCFailuregen 1.3.6.1.4.1.818.1.1.10.11.27
GESINGLEUPS-MIB::upsTrapAlarmConnectivityBusFailuregen 1.3.6.1.4.1.818.1.1.10.11.28
GESINGLEUPS-MIB::upsTrapAlarmHighspeedBusJBCRCFailuregen 1.3.6.1.4.1.818.1.1.10.11.29
GESINGLEUPS-MIB::upsTrapAlarmCurrentSharingFailuregen 1.3.6.1.4.1.818.1.1.10.11.30
GESINGLEUPS-MIB::upsTrapAlarmDCRippleFailuregen 1.3.6.1.4.1.818.1.1.10.11.31
GESINGLEUPS-MIB::upsTrapAlarmBatteryBadRestoredgen 1.3.6.1.4.1.818.1.1.10.11.33
GESINGLEUPS-MIB::upsTrapAlarmOnBatteryRestoredgen 1.3.6.1.4.1.818.1.1.10.11.34
GESINGLEUPS-MIB::upsTrapAlarmLowBatteryRestoredgen 1.3.6.1.4.1.818.1.1.10.11.35
GESINGLEUPS-MIB::upsTrapAlarmDepletedBatteryRestoredgen 1.3.6.1.4.1.818.1.1.10.11.36
GESINGLEUPS-MIB::upsTrapAlarmTempBadRestoredgen 1.3.6.1.4.1.818.1.1.10.11.37
GESINGLEUPS-MIB::upsTrapAlarmInputBadRestoredgen 1.3.6.1.4.1.818.1.1.10.11.38
GESINGLEUPS-MIB::upsTrapAlarmOutputBadRestoredgen 1.3.6.1.4.1.818.1.1.10.11.39
GESINGLEUPS-MIB::upsTrapAlarmOutputOverloadRestoredgen 1.3.6.1.4.1.818.1.1.10.11.40
GESINGLEUPS-MIB::upsTrapAlarmOnBypassRestoredgen 1.3.6.1.4.1.818.1.1.10.11.41
GESINGLEUPS-MIB::upsTrapAlarmBypassBadRestoredgen 1.3.6.1.4.1.818.1.1.10.11.42
GESINGLEUPS-MIB::upsTrapAlarmOutputOffAsRequestedRestoredgen 1.3.6.1.4.1.818.1.1.10.11.43
GESINGLEUPS-MIB::upsTrapAlarmUpsOffAsRequestedRestoredgen 1.3.6.1.4.1.818.1.1.10.11.44
GESINGLEUPS-MIB::upsTrapAlarmChargerFailedRestoredgen 1.3.6.1.4.1.818.1.1.10.11.45
GESINGLEUPS-MIB::upsTrapAlarmUpsOutputOngen 1.3.6.1.4.1.818.1.1.10.11.46
GESINGLEUPS-MIB::upsTrapAlarmUpsSystemOngen 1.3.6.1.4.1.818.1.1.10.11.47
